category,total_count,available_count,markdown_count,median_price,median_markdown_percent
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Tronsmart",2,,,620.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Trust",9,4.0,,699.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори UKC",1,1.0,1.0,424.0,20.0
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори UTM",4,4.0,2.0,524.0,7.4168657429527
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Union",52,52.0,52.0,399.0,40.58746442608731
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Usams",1,1.0,1.0,118.0,33.333333333333336
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори V8",1,1.0,1.0,450.0,50.0
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Vinga",3,3.0,,149.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Vorr",1,1.0,1.0,849.0,50.0
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Vr Box",1,1.0,1.0,419.0,9.503239740820735
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори WOW",3,3.0,,249.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори X3",2,2.0,2.0,286.0,25.42016806722689
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори XPRO",3,3.0,3.0,756.0,21.085594989561585
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Xtrike",1,1.0,,549.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори iPega",74,72.0,33.0,726.0,30.792917628945343
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Орбита",2,2.0,1.0,269.0,18.0
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Ariston",2,,,,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Bosch",1,,,3799.0,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Electrolux",2,,,6999.0,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь GEFU",1,,,240.0,
"Інтернет магазин,Аксесуари до варильних поверхонь,Аксесуари до варильних поверхонь Gunter&Hauer",1,,,2399.0,
